identity_a,identity_b,similarity
M237,M350,0.1167
M252,M153,0.1167
M108,M223,0.1159
M239,M178,0.1159
M185,M177,0.1145
M375,M262,0.1144
M365,M402,0.1139
M185,M332,0.1132
M222,M153,0.112
M239,M177,0.112
M416,M178,0.1088
M365,M262,0.1085
M108,M237,0.1083
M185,M222,0.1083
M222,M345,0.1061
M402,M178,0.105
M149,M262,0.105
M252,M304,0.105
M223,M151,0.105
M235,M108,0.104
M222,M365,0.1034
M262,M304,0.1
M262,M374,0.1
M252,M108,0.0991
M237,M151,0.0991
M401,M272,0.0973
M059,M416,0.0969
M272,M416,0.0917
M262,M153,0.0882
M177,M345,0.0882
M177,M365,0.0865
M350,M177,0.0856
M252,M178,0.0821
M178,M262,0.0795
