identity_a,identity_b,similarity
M190,M350,0.2111
M222,M412,0.2111
M149,M237,0.2109
M347,M262,0.2107
M185,M416,0.2104
M254,M151,0.21
M254,M304,0.21
M169,M143,0.21
M365,M151,0.21
M365,M153,0.21
M137,M351,0.21
M295,M153,0.21
M143,M357,0.21
M351,M386,0.21
M168,M386,0.21
M168,M412,0.21
M351,M153,0.21
M143,M329,0.21
M143,M355,0.21
M143,M223,0.21
M198,M295,0.21
M351,M304,0.21
M254,M412,0.21
M231,M355,0.21
M254,M153,0.21
M375,M222,0.2098
M347,M168,0.2097
M252,M332,0.2091
M401,M102,0.2091
M270,M272,0.2091
M270,M401,0.2089
M351,M223,0.2089
M169,M401,0.2089
M375,M412,0.2087
M412,M223,0.2083
M169,M374,0.2083
M137,M178,0.2083
M168,M295,0.2083
M252,M223,0.2083
M149,M332,0.2083
M168,M365,0.2083
M198,M402,0.2083
M190,M351,0.2081
M383,M168,0.208
M169,M295,0.208
M235,M239,0.2077
M155,M345,0.2071
M163,M151,0.207
M252,M416,0.2068
M190,M357,0.2068
M272,M153,0.2068
M108,M272,0.2067
M383,M190,0.2067
M169,M108,0.2065
M270,M128,0.2065
M059,M321,0.2064
M350,M355,0.2057
M235,M272,0.2057
M332,M345,0.2057
M102,M178,0.2057
M128,M102,0.2055
M059,M345,0.2054
M252,M198,0.205
M128,M190,0.2049
M183,M412,0.2049
M401,M350,0.2049
M103,M183,0.2048
M149,M235,0.2048
M222,M178,0.2048
M183,M350,0.2047
M059,M183,0.2042
M163,M168,0.204
M350,M351,0.204
M350,M151,0.2038
M270,M222,0.2038
M163,M329,0.2038
M163,M357,0.2038
M239,M357,0.2038
M239,M402,0.2038
M237,M177,0.2038
M128,M151,0.2038
M222,M402,0.2038
M128,M153,0.2038
M183,M357,0.2038
M272,M102,0.2035
M198,M332,0.2033
M108,M262,0.2031
M235,M402,0.2029
M169,M252,0.2028
M365,M332,0.2027
M108,M321,0.2026
M155,M365,0.2026
M108,M231,0.2026
M235,M351,0.2024
M270,M198,0.2021
M183,M185,0.2021
M222,M272,0.2021
M222,M350,0.2019
M235,M178,0.2017
M375,M143,0.2014
M137,M332,0.2006
M177,M102,0.2006
M329,M262,0.2006
